"filename", "language", "CSS", "PHP", "JavaScript", "JSON", "Markdown", "comment", "blank", "total"
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ms.php", "PHP", 0, -20, 0, 0, 0, -5, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-nb.php", "PHP", 0, -27, 0, 0, 0, -4, -1, -32
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-nl.php", "PHP", 0, -27, 0, 0, 0, -5, -1, -33
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-pl.php", "PHP", 0, -27, 0, 0, 0, -4, -1, -32
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-pt.php", "PHP", 0, -20, 0, 0, 0, -5, -1, -26
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-pt_br.php", "PHP", 0, -27, 0, 0, 0, -9, -1, -37
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ro.php", "PHP", 0, -27, 0, 0, 0, -4, -1, -32
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-ru.php", "PHP", 0, -20, 0, 0, 0, -6, -1, -27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-si.php", "PHP", 0, -27, 0, 0, 0, -5, -1, -33
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sk.php", "PHP", 0, -22, 0, 0, 0, -6, -1, -29
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sl.php", "PHP", 0, -27, 0, 0, 0, -7, -1, -35
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sr.php", "PHP", 0, -20, 0, 0, 0, -6, -1, -27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sr_latn.php", "PHP", 0, -20, 0, 0, 0, -6, -1, -27
"c:\xampp\htdocs\routeready\app\libraries\mail\language\phpmailer.lang-sv.php", "PHP", 0, -19, 0, 0, 0, -6, -1, -26
